url,title,current_price,current_price_numeric,old_price,old_price_numeric,discount_percent,discount_numeric,isbn,publisher,author,pages,pages_numeric,language,cover_type,description,rating,rating_numeric,reviews_count,availability,labels,categories,image_url
https://alinino.az/product/ali-and-nino-3,Ali and Nino,11.04 AZN,11.04,12.99 AZN,12.99,−15%,15,2000923387071,Anchor Books,Kurban Said,288,288,İngilis dili,Yumşaq,"It is the eve of World War I in Baku, Azerbaijan, a city on the edge of the Caspian Sea, poised precariously between east and west. Ali Khan Shirvanshir, a Muslim schoolboy from a proud, aristocratic family, has fallen in love with the beautiful and enigmatic Nino Kipiani, a Christian girl with distinctly European sensibilities. To be together they must overcome blood feud and scandal, attempt a daring horseback rescue, and travel from the bustling street of oil-boom Baku, through starkly beautiful deserts and remote mountain villages, to the opulent palace of Ali's uncle in neighboring Persia. Ultimately the lovers are drawn back to Baku, but when war threatens their future, Ali is forced to choose between his loyalty to the beliefs of his Asian ancestors and his profound devotion to Nino. Combining the exotic fascination of a tale told by Scheherazade with the range and magnificence of an epic, Ali and Nino is a timeless classic of love in the face of war.",0,0,0,Mövcuddur,"Bestseller, Ekspress","İngilis Dilində Kitablar, Bestsellerlər, Bestseller, İngilis Dilində Bədii Ədəbiyyat, Bestseller, Dünya Klassikası, Tarixi Romanlar",https://static.insales-cdn.com/r/blNuRLvEJto/rs:fit:570:570:1/q:80/plain/images/products/1/3793/2509418193/761d457a376c062a3ddea21f5bdf13f2.jpg@jpg
https://alinino.az/product/eli-ve-nino-yubiley-buraxilisi,Əli və Nino (yubiley buraxılışı),8.49 AZN,8.49,9.99 AZN,9.99,−15%,15,2000923386715,Əli və Nino Nəşriyyatı,Qurban Səid,350,350,Azərbaycan,Yumşaq,"Bu kitab ədəbiyyatımızın ən məşhur və qalmaqallı əsərlərindən biridir. Dünyanın 33 dilinə tərcümə olunub və 66 ölkədə nəşr edilib. Əksər avropa ölkələrində ƏSRİN ROMANI kimi dəyərləndirilib. Əsərdəki hadisələr Rusiya inqilabı, müstəqil və demokratik Azərbaycanın qurulması və Qızıl Ordunun Bakını işğal etdiyi dövrləri əhatə edir. Hadisələrin cərəyan etdiyi əsas məkan isə ""tərəqqi etmiş"" Qərb və ""geridə qalmış"" Şərqin qovuşduğu Bakıdır.",0,0,0,Mövcuddur,"Bestseller, Ekspress","Azərbaycan Dilində Kitablar, Bestsellerlər, Qeyri-Bədii Ədəbiyyat, Bestseller, Bədii Ədəbiyyat, Azərbaycan Və Dünya Klassikası, Bestseller, Bestseller, Tarix. Hüquq, Sevgi Romanları",https://static.insales-cdn.com/r/4LT0vnibIDM/rs:fit:570:570:1/q:80/plain/images/products/1/4409/2498154809/9069f15c-8474-4ec5-9fa4-3cac2b55632f.jfif@jfif
https://alinino.az/product/harry-potter-and-the-philosophers-stone-220be1,Harry Potter and the Philosopher's Stone Stage 1,2.85 AZN,2.85,3 AZN,3,−5%,5,9781647362980,Bloomsbury Publishing PLC,J. K. Rowling,122,122,İngilis dili,Paperback,"Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin! These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON ...",0,0,0,Mövcuddur,"Bestseller, Ekspress","İngilis Dilində Kitablar, Bestsellerlər, Bestseller, Qeyri-Bədii Ədəbiyyat, Xanımlar üçün hədiyyələr, Bəylər üçün hədiyyələr, İş yoldaşları üçün hədiyyələr, Xarici dillər və hazırlıq",https://static.insales-cdn.com/r/QY-q5nMeC6M/rs:fit:570:570:1/q:80/plain/images/products/1/5393/2490430737/WhatsApp_Image_2025-11-04_at_10.46.19.jpeg@jpeg
https://alinino.az/product/nitsse-aglayanda-2,Nitsşe ağlayanda,15.29 AZN,15.29,17.99 AZN,17.99,−15%,15,2000923386975,Qanun Nəşriyyatı,İrvin D. Yalom,448,448,Azərbaycan,Yumşaq,"Yalom psixoterapiyanın yaranması haqqında mükəmməlroman yazmışdır. O, XIX əsrin sonlarında Vyanada baş verənhadisənin mahiyyətini düşünüb tapmış və uydurduğu hekayəyəreal qəhrəmanlar gətirmişdir. Fridrix Nitsşe rus gözəli Lu Salomeyəolan ehtiraslı məhəbbətinin iztirabını çəkir, gənc Freydinmüəllimi həkim Breyer isə – sonralar biri o birinin psixoterapevtiolan keçmiş xəstəsinə patoloji vurğunluğunun əzabınıyaşayır. Bizim gözümüzün qarşısında dahi insanların sarsıdıcıdramı oynanılır. Bu roman tarixi faktlara əsaslansa da, tədricənbizi elə bir cəzbedici fantastik aləmə qovuşdurur ki, artıq reallığıuydurulmuş süjetdən ayırmaq mümkünsüz olur.",0,0,0,Mövcuddur,"Bestseller, Ekspress","Azərbaycan Dilində Kitablar, Bestsellerlər, Qeyri-Bədii Ədəbiyyat, Biznes, psixologiya, motivasiya, Bestseller, Bestseller, Psixologiya və biznes, Psixologiya və fərdi inkişaf, Fəlsəfə və Elm, Psixologiya və fərdi inkişaf",https://static.insales-cdn.com/r/ign7gEvTv_4/rs:fit:570:570:1/q:80/plain/images/products/1/1729/2462910145/NITSHE_AGLAYANDA_qapaq.jpg@jpg
https://alinino.az/product/on-zenci-balasi-3,On zənci balası,8.49 AZN,8.49,9.99 AZN,9.99,−15%,15,2000923385879,Qanun Nəşriyyatı,Aqata Kristi,260,260,Azərbaycan,Yumşaq,"Kiçik bir ada və bir-birini tanımayan on qonaq…Naməlum ev sahibi…Bəs görəsən, hər kəsi bura dəvət edən bu məşum cənab kimdir?Qonaqların bunu araşdırmağa isə vaxtı qalmır. Patefon valından növbəylə səslənən ittihamlar bütün qonaqlar sanki hakim qarşısında, müttəhim kürsüsündə hiss etməyə vadar edir. Əlqərəz, əsl faciələr də bundan sonra başlanır. Naməlum ev sahibi tərəfindən ittiham olunan qonaqlar qəribə ardıcıllıqla qətlə yetirilirlər. Adada isə onlardan başqa heç kim yoxdur…",0,0,0,Mövcuddur,"Bestseller, Ekspress","Azərbaycan Dilində Kitablar, Bestsellerlər, Bestseller, Bədii Ədəbiyyat, Detektivlər. Trillerlər",https://static.insales-cdn.com/r/wCwGl0CLDjY/rs:fit:570:570:1/q:80/plain/images/products/1/5209/2407502937/ON_ZENCI_BALASI_qapaq.png@png
https://alinino.az/product/azerbaycan-xalq-nagillari-5d39cf,Azərbaycan xalq nağılları,25.49 AZN,25.49,29.99 AZN,29.99,−15%,15,2000923385190,Əli və Nino Nəşriyyatı və Qanun Nəşriyyatı,,384,384,Azərbaycan,Bərk,"Kitabda Azərbaycanın qədim və etnik xalq folklor nümunələrinin inciləri - nağıllar toplanmışdır. Bu nağıllar şifahi xalq ədəbiyyatımızın ən maraqlı nümunələri olmaqla yanaşı, hər bir uşağın mütləq oxumalı olduğu bədii nümunələrdir. Nağıllar uşaqların bədii təfəkkürünü, zehni inkişafını, dünyagörüşünü formalaşdırmaqla yanaşı, onlarda dostluq, mehribanlıq, xeyirxahlıq, mərdlik, vətənpərvərlik, sevgi və s. kimi önəmli hisslərin formalaşmasında əhəmiyyətli rol oynayır. Kitabın içindəkilər: Cırtdan, Göyçək Fatma, Təpəgöz, Məlikməmməd, Tənbəl Əhməd, Zəngi, Nar qızı, Əliyarla dovşan, Quru kəllə, Ovçu Pirimin nağılı, Vəfalı at, Axvay, Zəmanənin hökmü, Yoxsul qocayla vəzir, Sehrli üzük, Badşah və dəmirçi, Şəngülüm - Şüngülüm - Məngülüm, Loğman, Ağıllı qız, Taxta qılınc, Oxxayla Əhməd, Naşükür qız, Pinəçi Məhəmməd, Cik-Cik xanım, Yuxu, Çıraqlı İsa, Yaxşılığa yaxşılıq, Qızıl qoç.",0,0,0,Mövcuddur,"Bestseller, Ekspress","Azərbaycan Dilində Kitablar, Bestsellerlər, Balaca oğlanlar üçün hədiyyələr, Uşaq Ədəbiyyatı, Bestseller, Bestseller, Nağıllar",https://static.insales-cdn.com/r/ENLCcWqXpPg/rs:fit:570:570:1/q:80/plain/images/products/1/201/2406613193/01ccae7a49087bd7c465cf3b25330940.png@png
https://alinino.az/product/sehra-ciceyi-2,Səhra çiçəyi,10.19 AZN,10.19,11.99 AZN,11.99,−15%,15,2000923385923,Qanun Nəşriyyatı,Varis Diriye,344,344,Azərbaycan,Yumşaq,"Varis Dirie onu dünyalarca məşhur edən bu romanı yazmaq üçün nə təxəyyülünə güc verib, nə də başqalarının həyat hekayələrini soraqlayıb. “Səhra çiçəyi” müəllifin öz başına gələnlərdir: kəlməbəkəlmə, addımbaaddım yaşadıqlarıdır. Allahın sevib yaratdığı insana əta etdiyi gözəlliklərdən necə məhrum edilməsi, həyat eşqinin hələ körpə qızcığazkən balaca köksündə boğulması, dün­yəvi həzlərə həsrət qoyulması barədə olduqca qəmli bir hekayət danışır Varis. Somalinin dodaq çatladan susuz səhralarında boy atan bu çiçək, onu məhv olmağa qoymayan, bu günün Varisi edən sevgidən, insanlara, yaradılışa inamdan rişələnir. İllər sonra məşhur model olan qəhrəmanımız geridə qoyduğu tarixçəsini bölüşməyi özünə borc bilir – beləcə, “Səhra çiçəyi”ni yazmaqla özünü yazıçılıqda da sınayır. Varis Afrikanın dəhşətinə çevrilmiş “qız sünnəti”nin onu necə şikəst etdiyini anladığı andan buna qarşı mübarizə aparmağa çalışıb. “Səhra çiçəyi” həm də bu mübarizənin bir for­masıdır. Tezliklə bestsellerə çevrilən əsəri ilə o, daha da məşhur olmaqla bərabər böyüklərin əlində alətə çevrilən qızcığızlara qurtuluş yolu da göstərmiş olub.“Səhra çiçəyi” məhz o əsərlərdəndir ki, təsirini xeyli müddət özünüzdən uzaqlaşdıra bilməyəcəksiniz.",0,0,0,Mövcuddur,"Bestseller, Ekspress","Azərbaycan Dilində Kitablar, Bestsellerlər, Qeyri-Bədii Ədəbiyyat, Bestseller, Bədii Ədəbiyyat, Müasir Xarici Nəşrlər, Memuarlar. Bioqrafiyalar. Aforizmlər",https://static.insales-cdn.com/r/hcRjFiGL598/rs:fit:570:570:1/q:80/plain/images/products/1/4305/2390413521/244dabf0aa56b3cc110ce297c6c5bb6d.jpg@jpg
https://alinino.az/product/pozitiv-dusun-pozitiv-yasa-2,"Pozitiv düşün, pozitiv yaşa",12.79 AZN,12.79,15.99 AZN,15.99,−20%,20,2000923386371,Əli və Nino Nəşriyyatı,Veks Kinq,344,344,Azərbaycan,Yumşaq,"SİZ özünüzün ən yaxşı versiyanız olun!  Özünüzü həqiqətən sevməyi necə öyrənə bilərsiniz? Mənfi emosiyaları müsbətə necə çevirmək olar? Əbədi xoşbəxtlik tapmaq mümkündürmü? Bu kitabda instagramda məşhur məzmun yaradıcısı olan Vex King bütün bu suallara və daha çoxuna cavab verir. Vex minlərlə gənc üçün ümid mənbəyi olmaq üçün çətinliklərin öhdəsindən gəldi və indi sizi ruhlandırmaq üçün şəxsi təcrübəsindən və intuitiv müdrikliyindən istifadə edir:  Bu kitabda Veks sizə göstərəcək ki, düşüncə tərzinizi, hisslərinizi, danışıqlarınızı və hərəkətlərinizi dəyişdiyiniz zaman dünyanı dəyişməyə başlayırsınız.",0,0,0,Mövcuddur,"Bestseller, Ekspress","Azərbaycan Dilində Kitablar, Bestsellerlər, Xanımlar üçün hədiyyələr, Qeyri-Bədii Ədəbiyyat, Biznes, psixologiya, motivasiya, Bestseller, Sevgili üçün hədiyyələr, Bestseller, Psixologiya və biznes, Psixologiya və fərdi inkişaf, Psixologiya və fərdi inkişaf",https://static.insales-cdn.com/r/fQUh3-vj2Ts/rs:fit:570:570:1/q:80/plain/images/products/1/1601/2355676737/PHOTO-2023-10-04-12-58-59.jpg@jpg
https://alinino.az/product/vadivasal-meydani,Vadivasal meydanı,5.61 AZN,5.61,5.90 AZN,5.90,−5%,5,9789952558524,Qədim Qala,Sinamanur Subramaniam Çellappa,95,95,Azərbaycan,Yumşaq,"Subramaniam Çellappa “Vadivasal meydanı” qürur, qüdrət və qisasın hekayəsidir. Kitabda iki min ildən çox yaşı olan callikattu yarışı təsvir edilir. Bu, adi yarış deyil; insan gücü ilə vəhşi gücün mübarizəsidir. Builki yarışın məxsusiliyi isə Piççinin də iştirak etməsidir. O, uzaq diyardan buraya məhz Kari buğasını – meydanda onlarla insanın qanını axıdan, həm xarici görünüşü, həm də vəhşiliyi ilə gözlərə qorxu, qəlblərə vahimə salan buğanı ram etməyə gəlib. Bu da səbəbsiz deyil: iki il əvvəl onun atası – callikattu yarışının məğlubedilməz iştirakçısı, qarşısına çıxan ən vəhşi buğaları belə məğlub edən Ambuli də Kari buğası ilə mübarizədə ölümcül yaralanaraq qısa müddət sonra həyatını itirmişdi. Bəs Piççi zəmindarın məğlubedilməzliyi ilə öyündüyü Kari buğasına qalib gələ biləcəkmi? Qarşısına çıxanı buynuzuna keçirib havada fırlayan bu vəhşi heyvanın buynuzları arasındakı mükafatı götürə biləcəkmi? Bu kiçikhəcmli əsərdəki həyəcan və insanla vəhşi heyvanın ölümcül mübarizəsi kitabı yarımçıq saxlamağa imkan verməyəcək. “Vadivasal meydanı”nı oxuyarkən siz sanki bir hindli ilə söhbətləşərcəsinə Hindistan mədəniyyəti, inancı, insanları, təfəkkürü, düşüncə və həyat tərzi ilə də yaxından tanış olacaqsınız.",0,0,0,Mövcuddur,,"Azərbaycan Dilində Kitablar, Bestsellerlər, Xanımlar üçün hədiyyələr, Bəylər üçün hədiyyələr, Bestseller, İş yoldaşları üçün hədiyyələr, Bədii Ədəbiyyat, Analar üçün hədiyyələr, Atalar üçün hədiyyələr, Sevgili üçün hədiyyələr, Müasir Xarici Nəşrlər",https://static.insales-cdn.com/r/mzPr4mjUYU4/rs:fit:570:570:1/q:80/plain/images/products/1/1049/2335032345/d371d74c-5301-4a19-ad07-29133be38097.jfif@jfif
https://alinino.az/product/persi-cekson-ve-ildirim-ogrusu-2,Persi Cekson və İldırım oğrusu,9.27 AZN,9.27,10.90 AZN,10.90,−15%,15,2000923374880,Qanun Nəşriyyatı,Rick Riordan,391,391,Azərbaycan,Yumşaq,,0,0,0,Mövcuddur,"Bestseller, Ekspress","Azərbaycan Dilində Kitablar, Bestsellerlər, Uşaq Ədəbiyyatı, Bestseller, Bestseller, Uşaqlar Üçün Bədii Ədəbiyyat, 6-12 yaş",https://static.insales-cdn.com/r/Fs_6nhyXY3k/rs:fit:570:570:1/q:80/plain/images/products/1/5049/2327843769/Persi_Cekson_qapaq_Esas.png@png
